drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
eplerenone,fluconazole,mechanism,High,1,"Administration of eplerenone with other CYP3A4 inhibitors (e.g., erythromycin 500 mg BID, verapamil 240 mg QD, saquinavir 1200 mg TID, fluconazole 200 mg QD) resulted in increases in Cmax of eplerenone ranging from 1.4- to 1.6- fold and AUC from 2.0- to 2.9- fold."
Ibogaine,morphine,effect,Moderate,2,Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;
bupropion,sertraline,advise,Moderate,1,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., meto"
antipsychotic agents,CNS depressants,effect,Moderate,1,"As with other antipsychotic agents, it should be noted that HALDOL may be capable of potentiating CNS depressants such as anesthetics, opiates, and alcohol."
BREVIBLOC,morphine,mechanism,High,2,"When intravenous morphine and BREVIBLOC were concomitantly administered in normal subjects, no effect on morphine blood levels was seen, but BREVIBLOC steady-state blood levels were increased by 46% in the presence of morphine."
enoxacin,caffeine,mechanism,High,3,Trough plasma enoxacin levels were also 20% higher when caffeine and enoxacin were administered concomitantly.
erythromycin,bromocriptine,int,Low,2,"There have been reports of interactions of erythromycin with carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, bromocriptine, valproate, terfenadine, and astemizole."
vitamin K antagonists,nilutamide,advise,Moderate,1,"For example, when vitamin K antagonists are administered concomitantly with nilutamide, prothrombin time should be carefully monitored and if necessary, the dosage of vitamin K antagonists should be reduced."
dexamethasone,CANCIDAS,advise,Moderate,2,"When CANCIDAS is co-administered with inducers of drug clearance, such as efavirenz, nevirapine, phenytoin, dexamethasone, or carbamazepine, use of a daily dose of 70 mg of CANCIDAS should be considered"
H2 blockers,SPRYCEL,advise,Moderate,2,The concomitant use of H2 blockers or proton pump inhibitors with SPRYCEL is not recommended.
HYDROXYZINE,BARBITURATES,effect,Moderate,1,"THE POTENTIATING ACTION OF HYDROXYZINE MUST BE CONSIDERED WHEN THE DRUG IS USED IN CONJUNCTION WITH CENTRAL NERVOUS SYSTEM DEPRESSANTS SUCH AS NARCOTICS, NON-NARCOTIC ANALGESICS AND BARBITURATES."
isoniazid,disulfiram,advise,Moderate,1,Patients taking isoniazid when disulfiram is given should be observed for the appearance of unsteady gait or marked changes in mental status;
Etonogestrel,prednisolone,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
Diphenoxylate HCl,MAO inhibitors,int,Low,1,"Diphenoxylate HCl and atropine sulfate may interact with MAO inhibitors In studies with male rats, diphenoxylate hydrochloride was found to inhibit the hepatic microsomal enzyme system at a dose of 2 mg/kg/day."
Itraconazole,cisapride,mechanism,High,3,In vitro data suggest that itraconazole also markedly inhibits the biotransformation system mainly responsible for the metabolism of cisapride;
carvedilol,cyclosporine,advise,Moderate,3,Cyclosporine: Modest increases in mean trough cyclosporine concentrations were observed following initiation of carvedilol treatment in 21 renal transplant patients suffering from chronic vascular rejection.
diclofenac,insulin,effect,Moderate,2,"There are rare reports, however, from marketing experiences, of changes in effects of insulin or oral hypoglycemic agents in the presence of diclofenac that necessitated changes in the doses of such agents."
nitrates,captopril,advise,Moderate,1,"therefore, nitroglycerin or other nitrates (as used for management of angina) or other drugs having vasodilator activity should, if possible, be discontinued before starting captopril."
delavirdine,VIDEX,advise,Moderate,2,"To avoid this interaction, delavirdine or indinavir should be given 1 hour prior to dosing with VIDEX."
Atromid-S,phenytoin,mechanism,High,1,Atromid-S may displace acidic drugs such as phenytoin or tolbutamide from their binding sites.
alprazolam,clarithromycin,int,Low,1,Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (caution is recommended during coadministration with alprazolam)
HEXALEN,cisplatin,effect,Moderate,1,Data from a randomized trial of HEXALEN and cisplatin plus or minus pyridoxine in ovarian cancer indicated that pyridoxine significantly reduced neurotoxicity;
Ponstel,furosemide,advise,Moderate,1,"During concomitant therapy of Ponstel with furosemide, the patient should be observed closely for signs of renal failure, as well as to assure diuretic efficacy."
anticoagulant,oxolinic acid,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
rifampin,fludrocortisone acetate,mechanism,High,1,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes."
Gastrointestinal acidifying agents,amphetamines,mechanism,High,1,"Acidifying agents: Gastrointestinal acidifying agents (guanethidine, reserpine, glutamic acid HCl, ascorbic acid, fruit juices, etc.) lower absorption of amphetamines."
pentamidine,HIVID,advise,Moderate,2,"If intravenous pentamidine is required to treat Pneumocystis carinii pneumonia, treatment with HIVID should be interrupted."
phenobarbital,calcitriol,mechanism,High,2,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
flurbiprofen,diuretics,advise,Moderate,1,Patients receiving flurbiprofen and furosemide or other diuretics should be observed closely to determine if the desired effect is obtained.
quinolone,calcium,mechanism,High,1,"Multivalent Cation-Containing Products: Concurrent administration of a quinolone, including ciprofloxacin, with multivalent cation-containing products such as magnesium or aluminum antacids, sucralfate, VIDEX chewable/buffered tablets or pediatric powder, or products containing calcium, iron, or zin"
tiagabine,phenobarbital,mechanism,High,1,Phenobarbital (Primidone): Population pharmacokinetic analyses indicate that tiagabine clearance is 60% greater in patients taking phenobarbital (primidone) with or without other enzyme-inducing AEDs.
Antihistamines,alcohol,effect,Moderate,4,"Concomitant use of antihistamines with alcohol, tricyclic antidepressants, barbiturates, or other central nervous system depressants may have an additive effect."
non- steroidal antiinflammatory agent,thiazide diuretics,effect,Moderate,1,"In some patients, the administration of a non- steroidal antiinflammatory agent can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium- sparing and thiazide diuretics."
Sumatriptan,D.H.E. 45,effect,Moderate,2,"Sumatriptan: Sumatriptan has been reported to cause coronary artery vasospasm, and its effect could be additive with D.H.E. 45  (dihydroergotamine mesylate) Injection, USP."
azole antifungal agents,hypoglycemic agents,effect,Moderate,1,Severe hypoglycemia has been reported in patients concomitantly receiving azole antifungal agents and oral hypoglycemic agents.
central nervous system depressants,heroin,effect,Moderate,2,"Toxicology studies of heroin-related deaths reveal frequent involvement of other central nervous system depressants, including alcohol, benzodiazepines such as diazepam (Valium), and, to a rising degree, methadone."
prostaglandin F2alpha,oxytocin,int,Low,1,In vitro interaction of prostaglandin F2alpha and oxytocin in placental vessels.
activated charcoal,leflunomide,mechanism,High,1,Cholestyramine and Charcoal Administration of cholestyramine or activated charcoal in patients (n=13) and volunteers (n=96) resulted in a rapid and significant decrease in plasma M1 (the active metabolite of leflunomide) concentration .
HALDOL,opiates,effect,Moderate,1,"As with other antipsychotic agents, it should be noted that HALDOL may be capable of potentiating CNS depressants such as anesthetics, opiates, and alcohol."
Furosemide,tubocurarine,effect,Moderate,1,Furosemide has a tendency to antagonize the skeletal muscle relaxing effect of tubocurarine and may potentiate the action of succinylcholine.
Cimetidine,cisapride,mechanism,High,2,The gastrointestinal absorption of cimetidine and ranitidine is accelerated when they are coadministered with cisapride.
apraclonidine,cardiac glycosides,advise,Moderate,1,"Since apraclonidine may reduce pulse and blood pressure, caution in using drugs such as beta-blockers (ophthalmic and systemic), antihypertensives, and cardiac glycosides is advised."
CANCIDAS,nevirapine,mechanism,High,2,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (efavirenz, nevirapine, phenytoin, dexamethasone, or carbamazepine) with CANCIDAS may result in clinically meaningful reductions in caspofungin concentrati"
INSPRA,angiotensin II receptor antagonists,effect,Moderate,1,"ACE Inhibitors and Angiotensin II Receptor Antagonists (Hypertension)- In clinical studies of patients with hypertension, the addition of INSPRA 50 to 100 mg to ACE inhibitors and angiotensin II receptor antagonists increased mean serum potassium slightly (about 0.09-0.13 mEq/L)."
fluoxetine,aripiprazole,mechanism,High,1,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels."
antihistamines,central nervous system depressants,effect,Moderate,1,"Concomitant use of antihistamines with alcohol, tricyclic antidepressants, barbiturates, or other central nervous system depressants may have an additive effect."
thiazides,vitamin D,effect,Moderate,3,Some reports have shown that the concomitant administration of thiazides with vitamin D causes hypercalcemia.
alosetron,telithromycin,advise,Moderate,1,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions."
norepinephrine,monoamine oxidase inhibitors,effect,Moderate,3,"The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension."
CASODEX,warfarin,mechanism,High,1,"In vitro studies have shown CASODEX can displace coumarin anticoagulants, such as warfarin, from their protein-binding sites."
